id,name,route_code,route_name,lat,long
3728091,آزادراه قم - گرمسار (قم),113201,آزادراه قم - گرمسار,34.7508,51.1023
3727943,شهريار-کرج (هفت جوي),113202,شهريار-کرج (هفت جوي),35.694783,51.045351
3727944,آزادراه تهران - قم (مجتمع ياس),113203,آزادراه تهران - قم (مجتمع ياس),35.519068,51.308319
3727945,آزادراه تهران - ساوه (عوارضي تهران),113204,آزادراه تهران - ساوه (عوارضي تهران),35.642778,51.266111
9000001,,113205,تهران - جاجرود,35.733035,51.663054
3727946,آزادراه تهران - پرديس (عوارضي پرديس),113206,آزادراه تهران - پرديس (عوارضي پرديس),35.745,51.783333
3727947,آزادراه تهران - پرديس (بومهن),113207,آزادراه تهران - پرديس (بومهن),35.732442,51.842189
3727948,آزادراه ساوه - تهران (رباط کريم-تهران),113208,آزادراه ساوه - تهران (رباط کريم-تهران),35.52246,51.081502
3727949,تهران - پاکدشت,113209,تهران - پاکدشت,35.56876,51.55079
3727950,آزادراه تهران - قم (عوارضي تهران),113210,آزادراه تهران - قم (عوارضي تهران),35.5419,51.3538
3727951,چرمشهر - حسن‌آباد,113211,چرمشهر - حسن‌آباد,35.387222,51.285833
3727952,امام زاده داوود - تهران,113212,امام زاده داوود - تهران,35.82517,51.26558
3727953,تهران - لواسانات (طلائيه),113213,تهران - لواسانات (طلائيه),35.77937,51.56252
3727954,تهران - لواسانات (سوهانک),113214,تهران - لواسانات (سوهانک),35.79522,51.5532
3727955,آزادراه تهران - ساوه (پرند),113228,آزادراه تهران - ساوه (پرند),35.467817,51.003087
3727956,جاده قديم تهران - قم (حسن آباد) (متناظر توزين),113229,جاده قديم تهران - قم (حسن آباد) (متناظر توزين),35.402584,51.290267
3727957,"جاده قديم تهران، قم (حسن‌آباد - نعلبندان)",113243,"جاده قديم تهران، قم (حسن‌آباد - نعلبندان)",35.3607,51.17729
3727958,آزادراه تهران- شمال (قطعه اول - محدوده عوارضي تهران),113249,آزادراه تهران- شمال (قطعه اول - محدوده عوارضي تهران),35.767203,51.262549
3727959,آزادراه گرمسار - قم (چرمشهر),113251,آزادراه گرمسار - قم (چرمشهر),35.159082,51.582688
3727960,کرج-شهريار (هفت جوي),113252,کرج-شهريار (هفت جوي),35.694783,51.045351
3727961,آزادراه قم - تهران (مجتمع ياس),113253,آزادراه قم - تهران (مجتمع ياس),35.519068,51.308319
3727962,آزادراه ساوه - تهران (عوارضي تهران),113254,آزادراه ساوه - تهران (عوارضي تهران),35.642778,51.266111
3728030,جاجرود - تهران,113255,جاجرود - تهران,35.733035,51.663054
3727963,آزادراه پرديس - تهران (عوارضي پرديس),113256,آزادراه پرديس - تهران (عوارضي پرديس),35.745,51.783333
3727964,آزادراه پرديس - تهران (بومهن),113257,آزادراه پرديس - تهران (بومهن),35.732442,51.842189
3727965,آزادراه تهران - ساوه (تهران-رباط کريم),113258,آزادراه تهران - ساوه (تهران-رباط کريم),35.52246,51.081502
3727966,پاکدشت - تهران,113259,پاکدشت - تهران,35.56876,51.55079
3727967,آزادراه قم - تهران (عوارضي تهران),113260,آزادراه قم - تهران (عوارضي تهران),35.5419,51.3538
3727968,حسن آباد - چرمشهر,113261,حسن آباد - چرمشهر,35.387222,51.285833
3727969,تهران - امام زاده داوود,113262,تهران - امام زاده داوود,35.82517,51.26558
3727970,لواسانات - تهران (طلائيه),113263,لواسانات - تهران (طلائيه),35.77937,51.56252
3727971,لواسانات - تهران (سوهانک),113264,لواسانات - تهران (سوهانک),35.79522,51.5532
3727972,آزادراه ساوه - تهران (پرند),113278,آزادراه ساوه - تهران (پرند),35.467817,51.003087
3727973,"جاده قديم قم، تهران (نعلبندان - حسن‌آباد)",113293,"جاده قديم قم، تهران (نعلبندان - حسن‌آباد)",35.3607,51.17729
3727974,آزادراه شمال - تهران (قطعه اول - محدوده عواضي تهران),113299,آزادراه شمال - تهران (قطعه اول - محدوده عواضي تهران),35.767203,51.262549
3727975,"اسلامشهر - آزادراه تهران، قم",113302,"اسلامشهر - آزادراه تهران، قم",35.512114,51.25182
3727976,آدران - شهريار,113303,آدران - شهريار,35.528021,51.138318
3727977,آزادراه تهران- شمال (قطعه اول - بعد از تونل 12),113341,آزادراه تهران- شمال (قطعه اول - بعد از تونل 12),35.916474,51.252922
3727978,"آزادراه تهران، قم - اسلامشهر",113352,"آزادراه تهران، قم - اسلامشهر",35.512114,51.25182
3727979,شهريار - آدران,113353,شهريار - آدران,35.528021,51.138318
3727980,آزادراه شمال - تهران (قطعه اول - بعد از تونل 12),113391,آزادراه شمال - تهران (قطعه اول - بعد از تونل 12),35.916474,51.252922
3727981,آبسرد - ايوانکي (آبسرد - دوآب),113401,آبسرد - ايوانکي,35.503818,52.169953
3727982,رودهن - دماوند,113403,رودهن - دماوند,35.712208,51.95571
